artist,title,description,duration,tech,misc
Ben,All what remains (Audio piece),,max. 10 mins,4 channels: GENELEC speakers?,"No lights, just a spot in the middle of the room"
Sina,"A tell tale heart
(Audio piece)",,8-10 min,,
Istabraq?,,,,,
,,,,,
,,,,,
Advanced Sound Projects and Theories,,,,,
David,Debris (Real time audio piece),,3 ‒ 15 mins,A big wall of speakers.,
Bruno,(Audio piece),,50 mins,,
Pablo + Nicolò,Live session,,30—40 min,,
Vicc and Vafa,Pre-produced + live,,20—30 min,,
Isa,Sharks (audio piece),,5’53’’,,
Kaja,,,,,
Rami,,,,,
Thomas,,,,,
